Gene stable ID,Gene description,Gene type,Gene name
ENSG00000308116,novel transcript,lncRNA,
ENSG00000308131,novel transcript,lncRNA,
ENSG00000308145,novel transcript,lncRNA,
ENSG00000308166,novel transcript,lncRNA,
ENSG00000308173,novel transcript,lncRNA,
ENSG00000308252,novel transcript,lncRNA,
ENSG00000285579,novel transcript,lncRNA,
ENSG00000299927,novel transcript,lncRNA,
ENSG00000299958,novel transcript,lncRNA,
ENSG00000308262,novel transcript,lncRNA,
ENSG00000308283,novel transcript,lncRNA,
ENSG00000251396,long intergenic non-protein coding RNA 1301 [Source:HGNC Symbol;Acc:HGNC:50464],lncRNA,LINC01301
ENSG00000308302,novel transcript,lncRNA,
ENSG00000308312,novel transcript,lncRNA,
ENSG00000308329,novel transcript,lncRNA,
ENSG00000227475,novel transcript,lncRNA,
ENSG00000293329,double homeobox A pseudogene 9 [Source:NCBI gene (formerly Entrezgene);Acc:503638],lncRNA,DUXAP9
ENSG00000299999,novel transcript,lncRNA,
ENSG00000300011,"novel transcript, antisense to NRG3",lncRNA,
ENSG00000300012,"novel transcript, antisense to EBF3",lncRNA,
ENSG00000235823,oligodendrocyte maturation-associated long intergenic non-coding RNA [Source:HGNC Symbol;Acc:HGNC:28060],lncRNA,OLMALINC
ENSG00000259856,RAB43 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:33153],processed_pseudogene,RAB43P1
ENSG00000260909,histamine receptor H3 (HRH3) pseudogene,unprocessed_pseudogene,
ENSG00000069329,VPS35 retromer complex component [Source:HGNC Symbol;Acc:HGNC:13487],protein_coding,VPS35
ENSG00000120705,eukaryotic translation termination factor 1 [Source:HGNC Symbol;Acc:HGNC:3477],protein_coding,ETF1
ENSG00000252560,"RNA, U4 small nuclear 18, pseudogene [Source:HGNC Symbol;Acc:HGNC:46954]",snRNA,RNU4-18P
ENSG00000168477,tenascin XB [Source:HGNC Symbol;Acc:HGNC:11976],protein_coding,TNXB
ENSG00000305111,novel transcript,lncRNA,
ENSG00000296980,novel transcript,lncRNA,
ENSG00000183560,"IZUMO1 receptor, JUNO [Source:HGNC Symbol;Acc:HGNC:32565]",protein_coding,IZUMO1R
ENSG00000290971,novel transcript,lncRNA,
ENSG00000275322,novel transcript,lncRNA,
ENSG00000259219,"novel transcript, antisense to ADAMTS17",lncRNA,
ENSG00000296996,novel transcript,lncRNA,
ENSG00000290767,novel transcript,lncRNA,
ENSG00000151503,non-SMC condensin II complex subunit D3 [Source:HGNC Symbol;Acc:HGNC:28952],protein_coding,NCAPD3
ENSG00000113851,cereblon [Source:HGNC Symbol;Acc:HGNC:30185],protein_coding,CRBN
ENSG00000229713,late cornified envelope pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:31807],unprocessed_pseudogene,LCEP2
ENSG00000306615,novel transcript,lncRNA,
ENSG00000233819,late cornified envelope pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:31806],unprocessed_pseudogene,LCEP1
ENSG00000306619,novel transcript,lncRNA,
ENSG00000240386,late cornified envelope 1F [Source:HGNC Symbol;Acc:HGNC:29467],protein_coding,LCE1F
ENSG00000130812,angiopoietin like 6 [Source:HGNC Symbol;Acc:HGNC:23140],protein_coding,ANGPTL6
ENSG00000255402,novel transcript,lncRNA,
ENSG00000186226,late cornified envelope 1E [Source:HGNC Symbol;Acc:HGNC:29466],protein_coding,LCE1E
ENSG00000290012,"novel transcript, sense intronic to TENM3",lncRNA,
ENSG00000306753,novel transcript,lncRNA,
ENSG00000225356,epithelial cell adhesion molecule (EPCAM) pseudo,processed_pseudogene,
ENSG00000289301,novel transcript,lncRNA,
ENSG00000286860,novel transcript,lncRNA,
ENSG00000215374,family with sequence similarity 66 member B [Source:HGNC Symbol;Acc:HGNC:28890],lncRNA,FAM66B
ENSG00000251742,RN7SK pseudogene 13 [Source:HGNC Symbol;Acc:HGNC:45737],misc_RNA,RN7SKP13
ENSG00000251433,cyclin H pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:50854],processed_pseudogene,CCNHP1
ENSG00000172155,late cornified envelope 1D [Source:HGNC Symbol;Acc:HGNC:29465],protein_coding,LCE1D
ENSG00000300141,novel transcript,lncRNA,
